id,parcel_id,inactive,name,rentable,type,primary_user,address_number,street,zip,image,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
271989940,96-G-1,f,Brookline Deck Hockey Benches,f,Dugout,Department of Public Works,1400,OAKRIDGE ST,,https://tools.wprdc.org/images/pittsburgh/facilities/Brookline_Deck_Hockey_Benches.jpg,Brookline,4,32,42003320600,5,32,6,4-26,40.39085395,-80.00755245
187565508,96-G-1,f,Brookline Pool Building,f,Pool,CitiParks,1400,OAKRIDGE ST,15226,https://tools.wprdc.org/images/pittsburgh/facilities/Brookline_Pool_Building.jpg,Brookline,4,32,42003320600,5,32,6,4-26,40.39064276,-80.00748878
1129757470,23-J-162,f,Police Zone 01,f,Police,Department of Public Safety,1501,BRIGHTON RD,15212,https://tools.wprdc.org/images/pittsburgh/facilities/Police_Zone_01.jpg,California-Kirkbride,6,25,42003250700,1,25,1,1-21,40.45699855,-80.01608853
1675583348,60-K-120,f,Volunteers Field 1 Utility Building,f,Utility,Department of Public Works,NA,PLATEAU ST,,https://tools.wprdc.org/images/pittsburgh/facilities/Volunteers_Field_1_Utility_Building.jpg,Carrick,4,29,42003290100,3,29,3,4-23,40.39721093,-79.99294981
1283048329,60-K-120,f,Volunteer Field 1 First Base Dugout,f,Dugout,CitiParks,NA,RIOTA WAY,,https://tools.wprdc.org/images/pittsburgh/facilities/Volunteer_Field_1_First_Base_Dugout.jpg,Carrick,4,29,42003290100,3,29,3,4-23,40.39767319,-79.9932273
1275425196,60-K-120,f,Volunteer Field 1 Third Base Dugout,f,Dugout,Department of Public Works,NA,RIOTA WAY,,https://tools.wprdc.org/images/pittsburgh/facilities/Volunteer_Field_1_Third_Base_Dugout.jpg,Carrick,4,29,42003290100,3,29,3,4-23,40.39754214,-79.99300629
1819018956,60-P-302,f,Volunteer Field 2 Concession Stand,f,Concession,Department of Public Works,NA,NEWETT ST,15210,https://tools.wprdc.org/images/pittsburgh/facilities/Volunteer_Field_2_Concession_Stand.jpg,Carrick,4,29,42003290100,3,29,3,4-23,40.39650893,-79.99242263
1085359927,60-K-246,f,Volunteers Field 3 First Base Dugout,f,Dugout,Department of Public Works,NA,RIOTA WAY,,https://tools.wprdc.org/images/pittsburgh/facilities/Volunteers_Field_3_First_Base_Dugout.jpg,Carrick,4,29,42003290100,3,29,3,4-23,40.39798947,-79.99293924
537148398,60-P-302,f,Volunteers Field 2 Third Base Dugout,f,Dugout,Department of Public Works,NA,STRATA WAY,,https://tools.wprdc.org/images/pittsburgh/facilities/Volunteers_Field_2_Third_Base_Dugout.jpg,Carrick,4,29,42003290100,3,29,3,4-23,40.39646823,-79.99234158
1157001727,60-K-246,f,Volunteers Field 3 Third Base Dugout,f,Dugout,Department of Public Works,NA,RIOTA WAY,,https://tools.wprdc.org/images/pittsburgh/facilities/Volunteers_Field_3_Third_Base_Dugout.jpg,Carrick,4,29,42003290100,3,29,3,4-23,40.39837558,-79.99279142
